id,discussion,parent,userid,userfullname,created,modified,mailed,subject,message,messageformat,messagetrust,attachment,totalscore,mailnow,deleted,privatereplyto,privatereplytofullname,wordcount,charcount
162970,62876,0,34004,professor_1,"Thursday, 17 October 2024, 12:13 PM","Sunday, 20 October 2024, 11:09 AM",1,Praxis-oriented education,"System planning and System operation (combo): based on real tasks and cooperative workflows... In this bubble, you can interpret the didactical challenges: What should be changed? Why? What should be done in an other way as before?
",2,0,0,0,0,0,0,,37,195
163025,62876,162970,44100,professor_1,"Sunday, 20 October 2024, 11:29 AM","Sunday, 20 October 2024, 11:29 AM",1,Tárgy: Praxis-oriented education,"Dear Students,
if you have any questions, do not hesitate to contanct me via email (ptlklszl@my-x.hu) at any time...
Laci (mentor)",2,0,0,0,0,0,0,,21,110
163026,62876,163025,34004,professor_1,"Sunday, 20 October 2024, 11:32 AM","Sunday, 20 October 2024, 11:32 AM",1,Tárgy: Praxis-oriented education,"or via email (pitlik.laszo@kodolanyi.hu)
Laszlo Pitlik (head of dept)",2,0,0,0,0,0,0,,9,61
163027,62876,162970,34004,professor_1,"Sunday, 20 October 2024, 11:42 AM","Sunday, 20 October 2024, 11:48 AM",1,Tárgy: Praxis-oriented education,"In case of each problem/question, please, consult chatGPT immediately, like in case of the final exam...",2,0,0,0,0,0,0,,16,89
163028,62876,163027,44100,professor_1,"Sunday, 20 October 2024, 11:48 AM","Sunday, 20 October 2024, 11:48 AM",1,Tárgy: Praxis-oriented education,"Useful information at all times: if you use chatGPT you need to save both your prompt and the full response of chatGPT. In case of your final thesis, you have to include all these (prompt + response) in the annex section...",2,0,0,0,0,0,0,,41,183
163065,62876,163028,47139,student_6,"Monday, 21 October 2024, 9:27 PM","Monday, 21 October 2024, 9:27 PM",1,Tárgy: Praxis-oriented education,https://chatgpt.com/,2,0,0,0,0,0,0,,1,20
163128,62876,163027,45304,student_24,"Thursday, 24 October 2024, 12:35 PM","Thursday, 24 October 2024, 12:35 PM",1,Tárgy: Praxis-oriented education,How we can imagine ChatGPT using in the final exam situation ?,2,0,0,0,0,0,0,,12,51
163129,62876,162970,45297,student_11,"Thursday, 24 October 2024, 12:47 PM","Thursday, 24 October 2024, 3:31 PM",1,Tárgy: Praxis-oriented education,"How would the collaborative moodle based work connect with the bprof-subjects? What effects (e.g. the work must have Excel in it, so in what way it connects with programing1 or databases bprof-subject?) does it have on those subjects?
(Edited by László Pitlik - original submission Thursday, 24 October 2024, 12:47 PM)
",2,0,0,0,0,0,0,,51,268
163131,62876,162970,45297,student_11,"Thursday, 24 October 2024, 1:00 PM","Thursday, 24 October 2024, 1:00 PM",1,Tárgy: Praxis-oriented education,"Some students and users of the current moodle system are keep geting notifications of the forum entry comments, some aren't. Why is that?",2,0,0,0,0,0,0,,23,115
163139,62876,163128,34004,professor_1,"Thursday, 24 October 2024, 3:30 PM","Thursday, 24 October 2024, 3:30 PM",1,Re: Tárgy: Praxis-oriented education,"Assumption: The question of a professor (in frame of a final exam) should be - What is the difference between two terms: system modelling and system planning? One of the most ideal reaction of a Student could be - I ask immediately the chatGPT and I will finetune the answer of chatGPT in real time - in oder to demonstrate, that a human being is better than the machine...",2,0,0,0,0,0,0,,69,305
163140,62876,163129,34004,professor_1,"Thursday, 24 October 2024, 3:38 PM","Thursday, 24 October 2024, 3:38 PM",1,Re: Tárgy: Praxis-oriented education,"Example: The collaboratice Moodle-course has here and now at least one thread (see demo0 about standardization), where we try to derive a system plan (incl. a system operation concept) for handling (not-)standardized answers. This planning should have a particular phase, where the handling of not-standardized strings (emails) will lead to Excel-files (c.f. pseudo-codes). This Excel-files deliver demo-solutions, where the processing of not-standardized strings produce (based on chained formulas) standardized inputs for a simulated database incl. self-checking reports using pivot-tables...",2,0,0,0,0,0,0,,79,516
163141,62876,163131,34004,professor_1,"Thursday, 24 October 2024, 3:39 PM","Thursday, 24 October 2024, 3:39 PM",1,Re: Tárgy: Praxis-oriented education,...in progress...,2,0,0,0,0,0,0,,2,16
163158,62876,163141,43841,professor_2,"Thursday, 24 October 2024, 10:21 PM","Thursday, 24 October 2024, 10:21 PM",1,Tárgy: Re: Tárgy: Praxis-oriented education,The particular Moodle System does not have any log-data about the sent messages... :-(,2,0,0,0,0,0,0,,14,73
163029,62886,0,34004,professor_1,"Sunday, 20 October 2024, 11:57 AM","Sunday, 20 October 2024, 11:59 AM",1,Standardized communication (demo0),"Please, read the follwowing document:https://moodle.kodolanyi.hu/mod/resource/view.php?id=154997  (ca. 15 minutes)

Please, create a new entry within this thread (bubble/topic): what is exactly a standardized answer concerning the highlighted document above? (ca. 15 minutes)

Please, create an other entry (in this thread) about one or more potential not-standardized answer-possibilites! (ca. 15 minutes)

Please, follow frequently the thread and please, comment the entries of the other Students! (min. 60 minutes during the whole semester)

",2,0,0,0,0,0,0,,70,473
163030,62886,163029,44100,professor_1,"Sunday, 20 October 2024, 12:00 PM","Sunday, 20 October 2024, 12:00 PM",1,Tárgy: Standardized communication (demo0),"Sub-thread: standardized answers
Post your entries replying to THIS comment!",2,0,0,0,0,0,0,,10,67
163031,62886,163029,44100,professor_1,"Sunday, 20 October 2024, 12:01 PM","Sunday, 20 October 2024, 12:01 PM",1,Tárgy: Standardized communication (demo0),"Sub-thread: NOT-standardized answers
Post your entries replying to THIS comment!",2,0,0,0,0,0,0,,10,71
163103,62886,163030,47139,student_6,"Wednesday, 23 October 2024, 5:41 PM","Wednesday, 23 October 2024, 5:41 PM",1,Tárgy: Standardized communication (demo0),"I think this is a standard answer:

Subject: Thesis Submission Deadline - [Month] [Year]

Dear Mentor,

I would like to inform you that my planned thesis submission deadline is [month] [year]. I am actively working on the project and will make full use of the mentoring opportunities you provide.

I will ensure that all communication is carried out in the appropriate format and within the required timeframes. Please expect my participation in the MS Teams group as well, and I will reach out if I need any further consultations or assistance.

Thank you for your attention and support!

Best regards,
[Full Name]
[NEPTUN Code]",2,0,0,0,0,0,0,,104,520
163104,62886,163031,47139,student_6,"Wednesday, 23 October 2024, 5:42 PM","Wednesday, 23 October 2024, 5:47 PM",1,Tárgy: Standardized communication (demo0),"I think this is a NOT-standard answer:

Subject: Thesis Submission Deadline - [Month] [Year]

Hey,

Just a heads-up that I plan to submit my thesis in [month] [year]. I’m keeping up with the work and will definitely use the mentoring options you’ve mentioned.

I’ll follow the communication rules and be active in the MS Teams group. If I need any help, I’ll reach out.

Thanks a lot for your support!

Best,
[Full Name]
[NEPTUN Code]

OR

if you don't write anything.",2,0,0,0,0,0,0,,81,380
163109,62886,163103,43841,professor_2,"Wednesday, 23 October 2024, 7:55 PM","Wednesday, 23 October 2024, 7:55 PM",1,Tárgy: Standardized communication (demo0),"What is the exact definition of the standardized status? Exact (Knuth-oriented) is a definition, if a source code can be derived without any antagonisms.",2,0,0,0,0,0,0,,24,130
163110,62886,163104,43841,professor_2,"Wednesday, 23 October 2024, 7:57 PM","Wednesday, 23 October 2024, 7:58 PM",1,Tárgy: Standardized communication (demo0),This answer does definitely belong to the NOT-standardized sub-thread!,2,0,0,0,0,0,0,,9,62
163111,62886,163103,43841,professor_2,"Wednesday, 23 October 2024, 8:01 PM","Wednesday, 23 October 2024, 8:01 PM",1,Tárgy: Standardized communication (demo0),Is the length of a standardized answer derivable in advance?,2,0,0,0,0,0,0,,10,51
163112,62886,163104,43841,professor_2,"Wednesday, 23 October 2024, 8:03 PM","Wednesday, 23 October 2024, 8:03 PM",1,Tárgy: Standardized communication (demo0),"Which kind of source code is needed in order to be capable of handling such an not-standardized answer, if we try to interpret (= to store in a database) for each Student only the planned deadline for closing the education periode?",2,0,0,0,0,0,0,,41,191
163113,62886,163109,47139,student_6,"Wednesday, 23 October 2024, 8:58 PM","Wednesday, 23 October 2024, 8:58 PM",1,Tárgy: Standardized communication (demo0),"Definition of Standardized Status (Knuth-Oriented): A standardized answer is an output that adheres to a precise, predetermined structure where every element and form is derived from a set of fixed, non-conflicting rules. These rules are well-defined and deterministic, meaning that given the same input, the process will consistently generate the same result without ambiguity or contradiction. The structure of the answer is entirely reproducible, much like compiling source code from a clearly defined algorithm.",2,0,0,0,0,0,0,,74,442
163114,62886,163111,47139,student_6,"Wednesday, 23 October 2024, 9:01 PM","Wednesday, 23 October 2024, 9:01 PM",1,Tárgy: Standardized communication (demo0),The length of a standardized answer can indeed be derived in advance if the formatting rules and the nature of the input are known.,2,0,0,0,0,0,0,,24,108
163115,62886,163112,47139,student_6,"Wednesday, 23 October 2024, 9:03 PM","Wednesday, 23 October 2024, 9:03 PM",1,Tárgy: Standardized communication (demo0),"The source code to handle such a NOT-standardized answer requires a flexible text parsing algorithm capable of recognizing patterns, handling exceptions, and ensuring data completeness. With the help of regular expressions, keyword matching, and error handling mechanisms, the unstructured text can be converted into structured data, ready for storage in a database.",2,0,0,0,0,0,0,,52,315
163121,62886,163113,43841,professor_2,"Wednesday, 23 October 2024, 9:52 PM","Wednesday, 23 October 2024, 9:52 PM",1,Tárgy: Standardized communication (demo0),"We do need the exact rule(s) for this particular challenge/problem/situation! Please, do not forget, the objective of the initialized communication is simple: we have only wanted a simple time-data for each person!",2,0,0,0,0,0,0,,32,183
163122,62886,163114,43841,professor_2,"Wednesday, 23 October 2024, 9:55 PM","Wednesday, 23 October 2024, 9:55 PM",1,Tárgy: Standardized communication (demo0),We do need the calculated length and the calculation rule(s) for this particular challenge/problem/situation! A kind of helpful note: Are the definition as such and the lenght as such two interpretations of the same challenge?,2,0,0,0,0,0,0,,35,192
163123,62886,163115,43841,professor_2,"Wednesday, 23 October 2024, 9:57 PM","Wednesday, 23 October 2024, 9:57 PM",1,Tárgy: Standardized communication (demo0),"What kind of patterns? Please, define examples: ...
What kind of exceptions? Please, define examples: ...",2,0,0,0,0,0,0,,16,90
163124,62886,163115,43841,professor_2,"Wednesday, 23 October 2024, 9:58 PM","Wednesday, 23 October 2024, 9:58 PM",1,Tárgy: Standardized communication (demo0),What do you think about the following helpful note: IF/THEN/ELSE?,2,0,0,0,0,0,0,,10,56
163133,62886,163109,45297,student_11,"Thursday, 24 October 2024, 1:31 PM","Thursday, 24 October 2024, 1:33 PM",1,Tárgy: Standardized communication (demo0),"Quotes from the primary e-mail:

[Quote]

",2,0,0,0,0,0,0,,5,27
163137,62886,163133,43841,professor_2,"Thursday, 24 October 2024, 3:25 PM","Thursday, 24 October 2024, 3:25 PM",1,Tárgy: Standardized communication (demo0),"Based on this text (picture), the standardized answer incl. the expected length of the standardized answer can be derived (quasi?!) in an exact way!",2,0,0,0,0,0,0,,24,125
